Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,tag-aviation,"7,6","8,4","8,3","6,3","7,9","7,7",Bien,16
Kayak,tame,"6,7","6,9","6,2",5,"5,8","6,2",Bien,759
Kayak,tap-air-portugal,"7,4",8,"7,2","6,6",7,"7,2",Bien,5037
Kayak,tarom,"7,9","8,3","7,6","6,5","7,3","7,6",Bien,713
Kayak,thai-airasia,"6,9","7,3","6,3",5,"5,5","6,3",Bien,1296
Kayak,thai-airways,"7,1","7,1","6,1","5,1","5,8","6,4",Bien,55
Kayak,thai-airways,"8,2","8,5","8,1","7,7","7,8","8,1",Excellent,2235
Kayak,thai-lion-air,"7,1","7,8","6,6","4,5",5,"6,4",Bien,74
Kayak,thai-smile,"8,8",9,"8,6","7,8","8,2","8,5",Excellent,324
Kayak,thai-vietjet-air,7,"7,5",5,"3,4","3,7","5,6",Correct,13
Kayak,thomas-cook-airlines,"6,9","7,8","6,6","5,8","6,4","6,7",Bien,298
Kayak,tianjin-airlines,"6,7","6,7","6,4",6,"6,2","6,5",Bien,12
Kayak,tibet-airlines,"9,3","9,3",8,6,8,"8,3",Excellent,3
Kayak,tigerair-australia,"6,7","7,2","6,3","5,2","5,8","6,3",Bien,382
Kayak,tigerair-taiwan,"7,3","7,2","6,6","5,4","5,9","6,7",Bien,27
Kayak,trade-air,"8,5","8,9","8,3","7,1","7,5","8,1",Excellent,13
Kayak,transavia,"7,5","8,2","7,2","5,7","6,2","7,1",Bien,771
Kayak,transavia,"7,2","7,9","7,2","5,8","6,2",7,Bien,445
Kayak,tropic-air,"8,2","8,3","7,8","7,1","6,9",8,Excellent,25
Kayak,tui-fly,"6,8","7,4","6,4",5,"5,6","6,4",Bien,161
Kayak,tui-fly,"7,1",8,"6,3","6,1","5,9","6,8",Bien,34
Kayak,tui-fly,8,"8,6","7,8","7,7","7,3","7,9",Bien,52
Kayak,tunisair,"5,9","6,5",6,"4,8","5,7","5,8",Correct,393
Kayak,turkish-airlines,"7,9","8,3","7,8","8,1","7,9",8,Excellent,22395
Kayak,turkmenistan-airlines,8,8,8,8,10,"8,3",Excellent,2
Kayak,tus-airways,"8,3","9,7","8,7","7,3","6,7","8,3",Excellent,6
Kayak,ukraine-int.-airlines,"6,5",7,"6,1","5,2","5,5","6,1",Bien,3453
Kayak,uni-air,"9,2","9,2",9,"8,6",9,9,Excellent,70
Kayak,united-airlines,"7,4","7,7",7,"6,5","6,5",7,Bien,65715
Kayak,ural-airlines,"6,4","6,9","6,1","4,4","5,3","5,9",Correct,125
Kayak,utair,"7,5","7,8","6,7","5,5","5,3","6,7",Bien,132
Kayak,uzbekistan-airways,"8,5","8,4","8,3","6,8","7,8",8,Excellent,113
Kayak,vanilla-air,"6,6","7,4",6,"4,8","5,6","6,3",Bien,77
Kayak,via-airlines,6,6,"4,7",2,2,"3,9",Médiocre,3
Kayak,vietjet-air,"5,9","6,5","5,6","4,5","4,8","5,5",Correct,219
Kayak,vietnam-airlines,"7,9","8,2","7,8","6,6","7,2","7,6",Bien,1226
Kayak,virgin-atlantic,"8,2","8,5","7,7",8,"7,7",8,Excellent,1496
Kayak,virgin-australia,"8,1","8,4","7,9","7,3","7,2","7,8",Bien,3371
Kayak,vistara,"8,7","8,8","8,8","7,6","8,4","8,5",Excellent,84
Kayak,viva-air,"6,3","6,8","6,1","5,6","5,9","6,1",Bien,52
Kayak,vivaaerobus,"6,6","7,2","6,3","5,3","5,6","6,3",Bien,510
Kayak,volaris,"7,1","7,4","6,6","5,4","5,7","6,6",Bien,1350
Kayak,volaris,"6,9","7,4","6,5","5,5","5,6","6,4",Bien,44
Kayak,volotea,"6,7","7,3","6,8","5,8","5,8","6,6",Bien,298
Kayak,vueling,"6,6","7,3","6,3","5,2","5,7","6,3",Bien,3162
Kayak,wamos-air,6,"6,9","5,4","4,4","5,4","5,6",Correct,37
Kayak,westjet,"8,2","8,5","7,8","7,1","7,2","7,8",Bien,8682
Kayak,wideroe,"8,5","8,6","7,9","6,9","7,4",8,Excellent,53
Kayak,winair,"6,6","8,2","7,2","6,4","6,3",7,Bien,38
Kayak,wingo,"8,5","8,7","8,1","7,2","7,6","8,2",Excellent,216
Kayak,wings-air,"6,8","7,2","6,9","4,2","4,8",6,Bien,13
Kayak,wizz-air,"6,9","7,7","6,5","5,4","5,9","6,6",Bien,1343
Kayak,wizz-air,8,4,4,6,6,5,Correct,4
Kayak,wow-air,"6,2","6,9","5,6","4,2","4,7","5,7",Correct,1532
Kayak,xiamen-air,"7,1","7,5","7,1","6,7","6,8","6,9",Bien,562
Kayak,xl-airways-france,"6,2",7,"5,3","4,5","5,6","5,8",Correct,1054
Kayak,yamal-airlines,"7,8",8,"7,8","5,5","7,6","7,4",Bien,11
Kayak,zanair-limited,10,10,10,10,10,10,Excellent,1
